年度,期作,縣市,鄉鎮,作物代碼,作物,種植面積,收穫面積,稻穀總產量,稻穀單位產量,糙米總產量,糙米單位產量
113,一期作,台中市,大甲區,C03 ,軟秈稻,4.7,4.7,34637,7370,26480,5634
113,二期作,台中市,大甲區,C03 ,軟秈稻,5.5,5.5,21918,3985,15814,2875
113,一期作,台中市,大甲區,C04 ,稉糯稻,3.5,3.5,23663,6761,18521,5292
113,二期作,台中市,大甲區,C04 ,稉糯稻,8.5,8.5,32198,3788,23865,2808
113,一期作,台中市,大甲區,C05 ,秈糯稻,3.6,3.6,26043,7234,19821,5506
113,一期作,台中市,梧棲區,C01 ,稉稻,363.85,363.85,2334098,6415,1829233,5027
113,二期作,台中市,梧棲區,C01 ,稉稻,306.84,306.84,963171,3139,705812,2300
113,一期作,台中市,沙鹿區,C01 ,稉稻,57.38,57.38,389668,6791,307838,5365
113,二期作,台中市,沙鹿區,C01 ,稉稻,53.53,53.53,224237,4189,171384,3202
113,一期作,台中市,神岡區,C01 ,稉稻,493.12,493.12,3343172,6780,2642108,5358
113,二期作,台中市,神岡區,C01 ,稉稻,264.23,264.23,1374525,5202,1065945,4034
113,一期作,台中市,神岡區,C04 ,稉糯稻,7.8,7.8,55570,7124,43578,5587
113,二期作,台中市,神岡區,C04 ,稉糯稻,11.01,11.01,55072,5002,42279,3840
113,一期作,台中市,后里區,C01 ,稉稻,877.02,877.02,5670188,6465,4466408,5093
113,二期作,台中市,后里區,C01 ,稉稻,546.07,545.9,2926023,5360,2236652,4097
113,一期作,台中市,后里區,C04 ,稉糯稻,20,20,129046,6452,101069,5053
113,二期作,台中市,后里區,C04 ,稉糯稻,20,20,103240,5162,78008,3900
113,一期作,台中市,大雅區,C01 ,稉稻,452.08,452.08,2990551,6615,2336517,5168
113,二期作,台中市,大雅區,C01 ,稉稻,427.19,427.19,2137658,5004,1632529,3822
113,一期作,台中市,大雅區,C04 ,稉糯稻,2,2,14550,7275,11368,5684
113,二期作,台中市,大雅區,C04 ,稉糯稻,2,2,9580,4790,7102,3551
